W0918 09:40:11.294000 990331 torch/distributed/run.py:851] 
W0918 09:40:11.294000 990331 torch/distributed/run.py:851] *****************************************
W0918 09:40:11.294000 990331 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 09:40:11.294000 990331 torch/distributed/run.py:851] *****************************************
pg_timeout_shim: process-group timeout set to 300s
NCCL version 2.28.9+cuda12.9
[W918 09:40:19.000466154 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 09:40:19.004560696 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 09:40:19.004629772 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 09:40:19.005064585 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 09:40:19.005940958 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 09:40:19.007145482 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 09:40:19.007205623 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
[W918 09:40:19.007509706 Utils.hpp:137] Warning: Environment variable TORCH_NCCL_TRACE_BUFFER_SIZE is deprecated; use TORCH_FR_BUFFER_SIZE instead (function operator())
logs/01411db4-1d79-4b70-8e3f-e77e49829604.txt
data shard loaded: /root/muoff/data/fineweb10B/fineweb_val_000000.bin (100000000 tokens; batch 10485760 tokens)
step:0/3080 val_loss:10.82584 train_time:0.001s step_avg:nanms
data shard loaded: /root/muoff/data/fineweb10B/fineweb_train_000001.bin (100000000 tokens; batch 524288 tokens)
cool_down_learning_rate at step 0: eta 1.000000 x scale 1.000000 = 1.000000 (cooldown_frac 0.7, shape linear, eta_scale 1.0, eta_scale_after_step None, eta_scale_after 1.0)
WD_FOLLOW_LR step=0 pattern=^blocks\..*\.weight$ wd=0.1
step:1/3080 train_time:70.632s step_avg:70632.33ms
step:2/3080 train_time:71.661s step_avg:35830.60ms
step:3/3080 train_time:72.001s step_avg:24000.45ms
step:4/3080 train_time:72.343s step_avg:18085.66ms
step:5/3080 train_time:72.685s step_avg:14536.99ms
step:6/3080 train_time:73.029s step_avg:12171.44ms
step:7/3080 train_time:73.371s step_avg:10481.60ms
step:8/3080 train_time:73.714s step_avg:9214.30ms
step:9/3080 train_time:74.058s step_avg:8228.65ms
step:10/3080 train_time:74.402s step_avg:7440.20ms
step:11/3080 train_time:74.746s step_avg:6795.13ms
step:12/3080 train_time:75.090s step_avg:6257.54ms
step:13/3080 train_time:75.435s step_avg:5802.66ms
step:14/3080 train_time:75.779s step_avg:5412.81ms
step:15/3080 train_time:76.123s step_avg:5074.90ms
step:16/3080 train_time:76.469s step_avg:4779.31ms
step:17/3080 train_time:76.814s step_avg:4518.45ms
step:18/3080 train_time:77.158s step_avg:4286.57ms
step:19/3080 train_time:77.503s step_avg:4079.13ms
step:20/3080 train_time:77.849s step_avg:3892.44ms
step:21/3080 train_time:78.197s step_avg:3723.64ms
step:22/3080 train_time:78.542s step_avg:3570.10ms
step:23/3080 train_time:78.887s step_avg:3429.88ms
step:24/3080 train_time:79.232s step_avg:3301.35ms
step:25/3080 train_time:79.578s step_avg:3183.12ms
step:26/3080 train_time:79.924s step_avg:3074.01ms
step:27/3080 train_time:80.270s step_avg:2972.95ms
step:28/3080 train_time:80.616s step_avg:2879.13ms
step:29/3080 train_time:80.962s step_avg:2791.78ms
step:30/3080 train_time:81.307s step_avg:2710.23ms
step:31/3080 train_time:81.653s step_avg:2633.96ms
step:32/3080 train_time:81.998s step_avg:2562.43ms
step:33/3080 train_time:82.344s step_avg:2495.27ms
step:34/3080 train_time:82.690s step_avg:2432.05ms
step:35/3080 train_time:83.036s step_avg:2372.46ms
step:36/3080 train_time:83.382s step_avg:2316.17ms
step:37/3080 train_time:83.729s step_avg:2262.96ms
step:38/3080 train_time:84.076s step_avg:2212.54ms
step:39/3080 train_time:84.422s step_avg:2164.67ms
