# fresh eight-seed check of the exact public script (muon); Lambda 8xA100-80GB pod muoff-8seed; validation every 125 steps and every 5 from 3000
step	seed0	seed1	seed2	seed3	seed4	seed5	seed6	seed7	mean	stat=(3.28-mean)*sqrt(8)	passes
3000	3.28360	3.28167	3.28060	3.28215	3.28136	3.28263	3.27965	3.28184	3.28169	-0.00477	no
3010	3.28277	3.28082	3.27976	3.28130	3.28050	3.28179	3.27880	3.28100	3.28084	-0.00238	no
3020	3.28194	3.28002	3.27896	3.28051	3.27972	3.28099	3.27800	3.28018	3.28004	-0.00011	no
3025	3.28159	3.27965	3.27861	3.28010	3.27935	3.28064	3.27761	3.27979	3.27967	0.00094	no
3030	3.28121	3.27929	3.27823	3.27976	3.27899	3.28029	3.27728	3.27941	3.27931	0.00196	no
3040	3.28060	3.27868	3.27762	3.27912	3.27837	3.27969	3.27667	3.27881	3.27869	0.00369	no
3050	3.28007	3.27816	3.27709	3.27861	3.27785	3.27918	3.27614	3.27827	3.27817	0.00517	yes
3060	3.27972	3.27779	3.27671	3.27824	3.27748	3.27881	3.27578	3.27790	3.27780	0.00621	yes
3070	3.27942	3.27751	3.27641	3.27794	3.27718	3.27853	3.27549	3.27761	3.27751	0.00704	yes
3075	3.27933	3.27741	3.27632	3.27785	3.27710	3.27844	3.27539	3.27752	3.27742	0.00730	yes
3080	3.27929	3.27737	3.27629	3.27782	3.27706	3.27840	3.27535	3.27748	3.27738	0.00740	yes
