W0918 22:05:16.330000 1166128 torch/distributed/run.py:851] 
W0918 22:05:16.330000 1166128 torch/distributed/run.py:851] *****************************************
W0918 22:05:16.330000 1166128 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 22:05:16.330000 1166128 torch/distributed/run.py:851] *****************************************
logs/muonh_fsd_maxentslop_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed6.txt
step:0/3125 val_loss:10.92958 train_time:0.000s step_avg:nanms
step:1/3125 train_time:5.227s step_avg:5226.89ms
step:2/3125 train_time:6.142s step_avg:3071.12ms
step:3/3125 train_time:6.488s step_avg:2162.61ms
step:4/3125 train_time:6.837s step_avg:1709.23ms
step:5/3125 train_time:7.185s step_avg:1437.01ms
step:6/3125 train_time:7.532s step_avg:1255.40ms
step:7/3125 train_time:7.880s step_avg:1125.78ms
step:8/3125 train_time:8.230s step_avg:1028.72ms
step:9/3125 train_time:8.579s step_avg:953.21ms
step:10/3125 train_time:8.927s step_avg:892.72ms
step:11/3125 train_time:9.277s step_avg:843.38ms
step:12/3125 train_time:9.627s step_avg:802.22ms
step:13/3125 train_time:9.976s step_avg:767.36ms
step:14/3125 train_time:10.325s step_avg:737.47ms
step:15/3125 train_time:10.675s step_avg:711.69ms
step:16/3125 train_time:11.025s step_avg:689.05ms
step:17/3125 train_time:11.375s step_avg:669.10ms
step:18/3125 train_time:11.725s step_avg:651.41ms
step:19/3125 train_time:12.077s step_avg:635.64ms
step:20/3125 train_time:12.426s step_avg:621.28ms
step:21/3125 train_time:12.774s step_avg:608.29ms
step:22/3125 train_time:13.124s step_avg:596.53ms
step:23/3125 train_time:13.473s step_avg:585.79ms
step:24/3125 train_time:13.824s step_avg:575.98ms
step:25/3125 train_time:14.172s step_avg:566.88ms
step:26/3125 train_time:14.523s step_avg:558.56ms
step:27/3125 train_time:14.874s step_avg:550.88ms
step:28/3125 train_time:15.223s step_avg:543.68ms
