W0918 12:38:55.157000 955192 torch/distributed/run.py:851] 
W0918 12:38:55.157000 955192 torch/distributed/run.py:851] *****************************************
W0918 12:38:55.157000 955192 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0918 12:38:55.157000 955192 torch/distributed/run.py:851] *****************************************
logs/muonh_kmaxwell_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3125_seed2.txt
step:0/3125 val_loss:10.98214 train_time:0.001s step_avg:nanms
step:1/3125 train_time:5.600s step_avg:5600.42ms
step:2/3125 train_time:6.155s step_avg:3077.58ms
step:3/3125 train_time:6.500s step_avg:2166.69ms
step:4/3125 train_time:6.848s step_avg:1712.01ms
step:5/3125 train_time:7.197s step_avg:1439.34ms
step:6/3125 train_time:7.545s step_avg:1257.44ms
step:7/3125 train_time:7.893s step_avg:1127.64ms
step:8/3125 train_time:8.242s step_avg:1030.27ms
step:9/3125 train_time:8.590s step_avg:954.46ms
step:10/3125 train_time:8.938s step_avg:893.82ms
step:11/3125 train_time:9.287s step_avg:844.30ms
step:12/3125 train_time:9.636s step_avg:803.02ms
step:13/3125 train_time:9.987s step_avg:768.20ms
step:14/3125 train_time:10.335s step_avg:738.25ms
step:15/3125 train_time:10.686s step_avg:712.37ms
step:16/3125 train_time:11.035s step_avg:689.69ms
step:17/3125 train_time:11.385s step_avg:669.72ms
step:18/3125 train_time:11.736s step_avg:652.00ms
step:19/3125 train_time:12.086s step_avg:636.13ms
step:20/3125 train_time:12.436s step_avg:621.82ms
step:21/3125 train_time:12.786s step_avg:608.87ms
step:22/3125 train_time:13.138s step_avg:597.17ms
step:23/3125 train_time:13.488s step_avg:586.45ms
step:24/3125 train_time:13.839s step_avg:576.62ms
step:25/3125 train_time:14.189s step_avg:567.56ms
step:26/3125 train_time:14.540s step_avg:559.25ms
step:27/3125 train_time:14.890s step_avg:551.48ms
step:28/3125 train_time:15.242s step_avg:544.36ms
step:29/3125 train_time:15.591s step_avg:537.63ms
step:30/3125 train_time:15.943s step_avg:531.43ms
step:31/3125 train_time:16.294s step_avg:525.62ms
step:32/3125 train_time:16.645s step_avg:520.17ms
step:33/3125 train_time:16.996s step_avg:515.04ms
step:34/3125 train_time:17.348s step_avg:510.24ms
step:35/3125 train_time:17.698s step_avg:505.67ms
step:36/3125 train_time:18.049s step_avg:501.37ms
step:37/3125 train_time:18.402s step_avg:497.34ms
step:38/3125 train_time:18.751s step_avg:493.45ms
step:39/3125 train_time:19.102s step_avg:489.79ms
step:40/3125 train_time:19.454s step_avg:486.35ms
step:41/3125 train_time:19.805s step_avg:483.04ms
step:42/3125 train_time:20.156s step_avg:479.91ms
step:43/3125 train_time:20.507s step_avg:476.92ms
step:44/3125 train_time:20.858s step_avg:474.03ms
step:45/3125 train_time:21.211s step_avg:471.35ms
step:46/3125 train_time:21.563s step_avg:468.75ms
step:47/3125 train_time:21.913s step_avg:466.23ms
step:48/3125 train_time:22.264s step_avg:463.82ms
step:49/3125 train_time:22.615s step_avg:461.52ms
step:50/3125 train_time:22.965s step_avg:459.31ms
step:51/3125 train_time:23.317s step_avg:457.19ms
step:52/3125 train_time:23.668s step_avg:455.16ms
step:53/3125 train_time:24.020s step_avg:453.21ms
step:54/3125 train_time:24.371s step_avg:451.31ms
step:55/3125 train_time:24.722s step_avg:449.49ms
step:56/3125 train_time:25.075s step_avg:447.76ms
