# fresh eight-seed check of the exact public script (muonh); Lambda 8xA100-80GB pod muoff-8seed; validation every 125 steps and every 5 from 3000
step	seed0	seed1	seed2	seed3	seed4	seed5	seed6	seed7	mean	stat=(3.28-mean)*sqrt(8)	passes
3000	3.28182	3.28136	3.28202	3.28407	3.28239	3.28260	3.28098	3.28328	3.28232	-0.00655	no
3005	3.28140	3.28093	3.28158	3.28369	3.28201	3.28221	3.28063	3.28292	3.28192	-0.00543	no
3010	3.28102	3.28051	3.28116	3.28324	3.28158	3.28175	3.28013	3.28253	3.28149	-0.00421	no
3015	3.28052	3.28004	3.28071	3.28273	3.28106	3.28124	3.27972	3.28207	3.28101	-0.00286	no
3020	3.28007	3.27960	3.28032	3.28236	3.28067	3.28083	3.27924	3.28166	3.28059	-0.00168	no
3025	3.27964	3.27914	3.27982	3.28187	3.28023	3.28032	3.27882	3.28117	3.28013	-0.00036	no
3030	3.27929	3.27876	3.27944	3.28149	3.27982	3.28003	3.27842	3.28082	3.27976	0.00068	no
3035	3.27889	3.27838	3.27907	3.28112	3.27944	3.27960	3.27806	3.28045	3.27938	0.00176	no
3040	3.27851	3.27800	3.27868	3.28075	3.27907	3.27922	3.27769	3.28006	3.27900	0.00284	no
3045	3.27824	3.27776	3.27842	3.28051	3.27883	3.27896	3.27744	3.27978	3.27874	0.00356	no
3050	3.27793	3.27740	3.27808	3.28015	3.27845	3.27864	3.27707	3.27942	3.27839	0.00455	yes
3055	3.27776	3.27725	3.27792	3.27999	3.27827	3.27843	3.27693	3.27932	3.27823	0.00500	yes
3060	3.27748	3.27693	3.27764	3.27975	3.27803	3.27816	3.27661	3.27899	3.27795	0.00580	yes
3065	3.27706	3.27655	3.27723	3.27932	3.27763	3.27776	3.27622	3.27858	3.27754	0.00695	yes
3070	3.27682	3.27631	3.27699	3.27905	3.27739	3.27750	3.27601	3.27831	3.27730	0.00764	yes
3075	3.27657	3.27603	3.27675	3.27881	3.27709	3.27724	3.27575	3.27806	3.27704	0.00838	yes
3080	3.27630	3.27579	3.27647	3.27856	3.27682	3.27699	3.27552	3.27781	3.27678	0.00910	yes
3085	3.27606	3.27557	3.27627	3.27833	3.27659	3.27675	3.27528	3.27755	3.27655	0.00976	yes
3090	3.27585	3.27532	3.27600	3.27811	3.27637	3.27653	3.27505	3.27735	3.27632	0.01040	yes
3095	3.27569	3.27514	3.27584	3.27794	3.27619	3.27636	3.27489	3.27718	3.27615	0.01088	yes
3100	3.27549	3.27500	3.27568	3.27778	3.27606	3.27620	3.27473	3.27701	3.27599	0.01133	yes
3105	3.27531	3.27483	3.27550	3.27760	3.27587	3.27601	3.27457	3.27684	3.27582	0.01183	yes
3110	3.27519	3.27472	3.27538	3.27748	3.27575	3.27589	3.27444	3.27672	3.27570	0.01217	yes
3115	3.27509	3.27461	3.27527	3.27736	3.27563	3.27578	3.27433	3.27661	3.27558	0.01249	yes
3120	3.27502	3.27455	3.27520	3.27730	3.27556	3.27572	3.27427	3.27654	3.27552	0.01267	yes
3125	3.27500	3.27452	3.27517	3.27727	3.27553	3.27570	3.27424	3.27653	3.27549	0.01274	yes
