W0922 08:39:00.053000 194353 torch/distributed/run.py:851] 
W0922 08:39:00.053000 194353 torch/distributed/run.py:851] *****************************************
W0922 08:39:00.053000 194353 torch/distributed/run.py:851] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0922 08:39:00.053000 194353 torch/distributed/run.py:851] *****************************************
logs/muonh_fsd_maxentslop_warm100_plateauEnd200_peak0.03_fastEnd1750_floor0.006_slowlinear_exp0.6_steps3010_seed0.txt
step:0/3010 val_loss:10.98962 train_time:0.001s step_avg:nanms
step:1/3010 train_time:5.615s step_avg:5614.57ms
step:2/3010 train_time:6.504s step_avg:3251.89ms
step:3/3010 train_time:6.846s step_avg:2281.91ms
step:4/3010 train_time:7.190s step_avg:1797.62ms
step:5/3010 train_time:7.535s step_avg:1506.90ms
step:6/3010 train_time:7.881s step_avg:1313.46ms
step:7/3010 train_time:8.227s step_avg:1175.22ms
step:8/3010 train_time:8.571s step_avg:1071.38ms
step:9/3010 train_time:8.917s step_avg:990.81ms
step:10/3010 train_time:9.263s step_avg:926.33ms
step:11/3010 train_time:9.610s step_avg:873.59ms
step:12/3010 train_time:9.956s step_avg:829.65ms
step:13/3010 train_time:10.301s step_avg:792.41ms
step:14/3010 train_time:10.646s step_avg:760.46ms
step:15/3010 train_time:10.992s step_avg:732.82ms
step:16/3010 train_time:11.339s step_avg:708.66ms
step:17/3010 train_time:11.686s step_avg:687.39ms
step:18/3010 train_time:12.033s step_avg:668.49ms
step:19/3010 train_time:12.382s step_avg:651.68ms
step:20/3010 train_time:12.730s step_avg:636.51ms
step:21/3010 train_time:13.078s step_avg:622.75ms
step:22/3010 train_time:13.425s step_avg:610.22ms
step:23/3010 train_time:13.772s step_avg:598.78ms
step:24/3010 train_time:14.118s step_avg:588.26ms
step:25/3010 train_time:14.467s step_avg:578.67ms
step:26/3010 train_time:14.815s step_avg:569.80ms
step:27/3010 train_time:15.162s step_avg:561.56ms
step:28/3010 train_time:15.511s step_avg:553.95ms
step:29/3010 train_time:15.858s step_avg:546.82ms
step:30/3010 train_time:16.206s step_avg:540.20ms
step:31/3010 train_time:16.554s step_avg:534.01ms
step:32/3010 train_time:16.902s step_avg:528.19ms
step:33/3010 train_time:17.250s step_avg:522.73ms
step:34/3010 train_time:17.597s step_avg:517.55ms
step:35/3010 train_time:17.944s step_avg:512.68ms
